"","label"
"1",3
"2",3
"3",3
"4",1
"5",2
"6",2
"7",3
"8",3
"9",1
"10",2
"11",3
"12",3
"13",3
"14",3
"15",3
"16",3
"17",3
"18",3
"19",1
"20",3
"21",2
"22",3
"23",3
"24",3
"25",3
"26",3
"27",3
"28",3
"29",3
"30",3
"31",3
"32",3
"33",2
"34",3
"35",3
"36",3
"37",3
"38",2
"39",1
"40",2
"41",2
"42",3
"43",3
"44",3
"45",3
"46",2
"47",3
"48",3
"49",2
"50",3
"51",3
"52",2
"53",3
"54",3
"55",3
"56",3
"57",3
"58",1
"59",3
"60",3
"61",3
"62",3
"63",3
"64",3
"65",3
"66",3
"67",3
"68",3
"69",3
"70",3
"71",3
"72",3
"73",3
"74",2
"75",3
"76",3
"77",2
"78",3
"79",3
"80",3
"81",1
"82",3
"83",3
"84",3
"85",3
"86",3
"87",3
"88",3
"89",2
"90",3
"91",3
"92",3
"93",1
"94",3
"95",3
"96",3
"97",3
"98",3
"99",3
"100",1
"101",3
"102",3
"103",2
"104",3
"105",3
"106",3
"107",3
"108",3
"109",3
"110",1
"111",3
"112",1
"113",3
"114",3
"115",3
"116",1
"117",3
"118",3
"119",3
"120",3
"121",3
"122",3
"123",2
"124",1
"125",1
"126",3
"127",3
"128",3
"129",3
"130",3
"131",2
"132",3
"133",3
"134",3
"135",3
"136",3
"137",3
"138",3
"139",1
"140",2
"141",3
"142",2
"143",3
"144",3
"145",3
"146",3
"147",3
"148",3
"149",3
"150",3
"151",2
"152",3
"153",3
"154",1
"155",3
"156",3
"157",3
"158",2
"159",3
"160",3
"161",3
"162",3
"163",3
"164",2
"165",1
"166",2
"167",2
"168",2
"169",2
"170",2
"171",2
"172",2
"173",3
"174",3
"175",2
"176",2
"177",2
"178",2
"179",2
"180",2
"181",3
"182",1
"183",1
"184",3
"185",3
"186",3
"187",2
"188",2
"189",2
"190",2
"191",3
"192",3
"193",2
"194",2
"195",3
"196",2
"197",1
"198",2
"199",3
"200",3
"201",3
"202",3
"203",3
"204",3
"205",3
"206",3
"207",3
"208",3
"209",3
"210",3
"211",3
"212",3
"213",2
"214",3
"215",3
"216",3
"217",3
"218",2
"219",2
"220",3
"221",3
"222",3
"223",2
"224",3
"225",3
"226",3
"227",3
"228",3
"229",3
"230",2
"231",2
"232",2
"233",3
"234",2
"235",3
"236",3
"237",3
"238",3
"239",3
"240",3
"241",3
"242",3
"243",1
"244",3
"245",3
"246",2
"247",3
"248",3
"249",3
"250",3
"251",3
"252",3
"253",3
"254",3
"255",3
"256",2
"257",3
"258",3
"259",3
"260",3
"261",3
"262",3
"263",1
"264",3
"265",3
"266",3
"267",3
"268",2
"269",3
"270",3
"271",1
"272",3
"273",3
"274",3
"275",3
"276",2
"277",3
"278",3
"279",3
"280",3
"281",3
"282",3
"283",3
"284",3
"285",3
"286",3
"287",1
"288",3
"289",3
"290",2
"291",3
"292",3
"293",3
"294",3
"295",3
"296",2
"297",3
"298",1
"299",3
"300",2
"301",3
"302",3
"303",3
"304",3
"305",3
"306",1
"307",1
"308",2
"309",3
"310",2
"311",3
"312",3
"313",3
"314",3
"315",3
"316",3
"317",2
"318",3
"319",3
"320",3
"321",3
"322",3
"323",2
"324",3
"325",3
"326",2
"327",3
"328",2
"329",3
"330",3
"331",3
"332",3
"333",3
"334",3
"335",3
"336",3
"337",3
"338",3
"339",3
"340",2
"341",3
"342",3
"343",3
"344",1
"345",3
"346",1
"347",3
"348",3
"349",3
"350",3
"351",3
"352",3
"353",3
"354",3
"355",3
"356",2
"357",3
"358",3
"359",3
"360",3
"361",1
"362",3
"363",3
"364",1
"365",3
"366",3
"367",3
"368",3
"369",3
"370",3
"371",3
"372",3
"373",3
"374",3
"375",3
"376",3
"377",2
"378",3
"379",3
"380",3
"381",3
"382",3
"383",2
"384",3
"385",2
"386",2
"387",2
"388",3
"389",3
"390",3
"391",2
"392",3
"393",2
"394",2
"395",2
"396",2
"397",3
"398",2
"399",3
"400",3
"401",2
"402",3
"403",3
"404",3
"405",3
"406",2
"407",1
"408",1
"409",3
"410",3
"411",3
"412",2
"413",3
"414",3
"415",3
"416",1
"417",3
"418",1
"419",3
"420",3
"421",3
"422",2
"423",3
"424",3
"425",3
"426",3
"427",2
"428",3
"429",3
"430",3
"431",2
"432",3
"433",1
"434",3
"435",3
"436",3
"437",2
"438",2
"439",3
"440",1
"441",3
"442",3
"443",3
"444",3
"445",1
"446",1
"447",3
"448",3
"449",3
"450",3
"451",3
"452",3
"453",3
"454",1
"455",3
"456",2
"457",3
"458",3
"459",3
"460",3
"461",3
"462",3
"463",3
"464",3
"465",3
"466",2
"467",3
"468",2
"469",3
"470",1
"471",3
"472",3
"473",3
"474",3
"475",2
"476",3
"477",1
"478",1
"479",3
"480",3
"481",2
"482",2
"483",2
"484",2
"485",2
"486",2
"487",3
"488",3
"489",3
"490",3
"491",3
"492",3
